Url,Sum of StorageUsed,Sum of StorageMetrics.TotalSize,Sum of StorageMetrics.TotalFileStreamSize,Sum of StorageMetrics.MetadataSize,Sum of storageUsedInDrives,,Sum of numberOfDrives,Sum of fileCount,Sum of PreviousVersionSize
https://groverale.sharepoint.com/sites/migtest7,2127353762,2126959792,2123855815,707133,2123390994,2396844,2,2079,-464821
https://groverale.sharepoint.com/sites/migtest8,2127447392,2127081778,2123834337,710653,2123390994,2536788,2,2077,-443343
https://groverale.sharepoint.com/sites/migtest9,2127255914,2126891366,2123799330,701082,2123390994,2390954,2,2074,-408336
https://groverale.sharepoint.com/sites/moderntemsite,2387718,2043536,325167,72628,0,1645741,1,19,-325167
https://groverale.sharepoint.com/sites/ModernWorkplaceTest,2483876,2179456,372655,96025,20624,1710776,1,24,-352031
https://groverale.sharepoint.com/sites/natwesttest,1970365,1855545,11934,63797,0,1779814,1,2,-11934
https://groverale.sharepoint.com/sites/navtest,2566999,2257893,482004,68448,0,1707441,1,26,-482004
https://groverale.sharepoint.com/sites/newgroupdfid,2226778,1921928,331125,69498,0,1521305,1,18,-331125
https://groverale.sharepoint.com/sites/NewOneDriveBanner,2072402,1756424,164530,70504,0,1521390,1,11,-164530
https://groverale.sharepoint.com/sites/NewStuff,2088253,1781013,243859,57936,0,1479218,1,15,-243859
https://groverale.sharepoint.com/sites/NewTeam,2085364,1769478,152898,70849,0,1545731,1,10,-152898
https://groverale.sharepoint.com/sites/NewTeams,2189917,1886221,292357,69714,0,1524150,1,17,-292357
https://groverale.sharepoint.com/sites/OracleTest-0,2422783,2102397,165271,85530,0,1851596,2,10,-165271
https://groverale.sharepoint.com/sites/OrpahanedTeamSite,1547425,1436517,15811,70164,0,1350542,1,1,-15811
https://groverale.sharepoint.com/sites/OrphanedBrandSite,8734350,8621978,3475887,157772,0,4988319,2,43,-3475887
https://groverale.sharepoint.com/sites/OzoneSPDesign,2952366,2572052,635517,74084,189959,1862451,1,25,-445558
https://groverale.sharepoint.com/sites/permission-pg,45060418,45141138,20359724,238814,816,24542600,1,13,-20358908
https://groverale.sharepoint.com/sites/permissionstest,1540313,1432889,0,62497,0,1370392,1,0,0
https://groverale.sharepoint.com/sites/pnp_starter_intranet,109327008,108791990,14808016,1669926,9789,92314048,7,168,-14798227
https://groverale.sharepoint.com/sites/pnp_starter_intranet4,64562610,63999978,14862522,585022,9804,48552434,7,174,-14852718
https://groverale.sharepoint.com/sites/PnPTeam,2069839,1753569,138194,69225,0,1546150,1,8,-138194
https://groverale.sharepoint.com/sites/ProjectFalcon,3763482,3651562,502954,76678,491892,3071930,1,5,-11062
https://groverale.sharepoint.com/sites/ProjectZumo,2201867,1898155,281666,73028,0,1543461,1,16,-281666
https://groverale.sharepoint.com/sites/propsinword,2411292,2315498,133568,87313,121458,2094617,2,6,-12110
https://groverale.sharepoint.com/sites/provtest10,1518951,1408319,1617,53474,0,1353228,1,1,-1617
https://groverale.sharepoint.com/sites/provtest11,1518858,1408226,1617,53356,0,1353253,1,1,-1617
https://groverale.sharepoint.com/sites/QuotaComs,1517154,1408202,1617,53314,0,1353271,1,1,-1617
https://groverale.sharepoint.com/sites/QuotaNewComs,1517253,1408301,1617,53441,0,1353243,1,1,-1617
https://groverale.sharepoint.com/sites/QuotaTeams,1567237,1457313,799,63194,0,1393320,1,1,-799
https://groverale.sharepoint.com/sites/QuotaTeamsNew,1514344,1405232,0,62060,0,1343172,1,0,0
https://groverale.sharepoint.com/sites/QuotaTeamsTeam,1568100,1458176,0,63353,0,1394823,1,0,0
https://groverale.sharepoint.com/sites/Requestateamapp,2076916,1762568,88048,86518,0,1588002,1,7,-88048
https://groverale.sharepoint.com/sites/retention-pg,8067423,8168797,2292574,135377,19868,5740846,1,12,-2272706
https://groverale.sharepoint.com/sites/ScreenSaverPA,8262230,8153731,2244109,87205,0,5822417,1,8,-2244109
https://groverale.sharepoint.com/sites/ServiceDesk,7373078,7265970,1674573,108721,0,5482676,1,15,-1674573
https://groverale.sharepoint.com/sites/SiteWithHeader,2109076,1801064,260501,58599,0,1481964,1,16,-260501
https://groverale.sharepoint.com/sites/SkyDev,1737225,1631101,13035,132339,0,1485727,1,2,-13035
https://groverale.sharepoint.com/sites/SkySiteManagementPoC,3237943,3112043,51208,191211,38154,2869624,1,5,-13054
https://groverale.sharepoint.com/sites/spdev,1573594,0,0,0,0,0,1,0,0
https://groverale.sharepoint.com/sites/spomembership,1564574,1454650,0,63007,0,1391643,1,0,0
https://groverale.sharepoint.com/sites/spoownership,1511891,1402779,0,62455,0,1340324,1,0,0
